#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Jan 28 15:20:17 EST 2019,35,35,Assignment1Suite,GetTest0+ InsertTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- , ,
1,Mon Jan 28 15:56:16 EST 2019,100,65,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest0 GetTest1+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
